Name,HR,RBI,BB,K,AVG,OBP,SLG
Brian McCann,0.044278062,0.147095197,0.09025,0.1675,0.23675,0.316,0.423
Bryce Harper,0.048588044,0.136594789,0.149,0.21275,0.29125,0.3975,0.527
Buster Posey,0.027697323,0.136961576,0.09475,0.106,0.30925,0.37625,0.464
C.J. Cron,0.04048318,0.144418228,0.04875,0.2175,0.261,0.30475,0.44825
Cameron Maybin,0.013536722,0.087301392,0.089,0.19375,0.26125,0.3295,0.371
Carlos Beltran,0.036399477,0.123083643,0.07275,0.177,0.25875,0.3145,0.44225
Carlos Gomez,0.032368798,0.11686764,0.0715,0.25725,0.25625,0.327,0.433
Carlos Gonzalez,0.042677393,0.139935053,0.0805,0.22375,0.26725,0.3265,0.47475
Carlos Santana,0.038334746,0.125327444,0.15225,0.164,0.245,0.36275,0.44375
Charlie Blackmon,0.037630992,0.116882123,0.068,0.16425,0.3075,0.3655,0.51075
Chase Headley,0.022139727,0.097338952,0.09325,0.222,0.2565,0.33325,0.3825
Chase Utley,0.020730111,0.099505285,0.0795,0.161,0.2425,0.317,0.38775
Chris Carter,0.054746341,0.14098483,0.109,0.33275,0.21225,0.305,0.44675
Chris Davis,0.05660856,0.138624432,0.12175,0.33525,0.2235,0.3255,0.462
Chris Iannetta,0.031205006,0.107404722,0.12575,0.25675,0.226,0.33075,0.39175
Chris Owings,0.016784091,0.098371593,0.0455,0.21875,0.25825,0.2945,0.3965
Chris Young,0.033597596,0.104527312,0.09325,0.20375,0.24625,0.32325,0.43075
Christian Yelich,0.02118386,0.107721159,0.105,0.2015,0.291,0.36825,0.435
Corey Dickerson,0.044916287,0.129445208,0.059,0.23425,0.28575,0.32875,0.5155
Curtis Granderson,0.041358359,0.104551451,0.1265,0.21875,0.23375,0.337,0.44025
Daniel Murphy,0.030445539,0.139999154,0.06675,0.10825,0.30975,0.357,0.4975
